mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.344944636027018,0.025110326920839032,0.02860736846923828,0.0004320108250035839,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.7201889905504725,0.6305407635190879,0.6741918547963699,0.6749738696219767,0.03660291256952346,25
4.786171038945516,0.059806003795481566,0.05429228146870931,0.0005636912179258132,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.7195890205489726,0.6411910297757444,0.6740418510462761,0.6782739671236643,0.03214544388856331,22
1.0994757016499836,0.057656832204378866,0.029947996139526367,0.011350726034912693,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.7172641367931604,0.6610665266631666,0.67659191479787,0.6849741927513989,0.023695847510317912,19
2.2922117710113525,0.027798231293575438,0.028868913650512695,0.0005108354198393939,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.7247637618119094,0.6463661591539789,0.6797419935498388,0.6836239715052423,0.032123183116065025,20
4.81547212600708,0.037957135066392436,0.052541653315226235,0.0005409219766179274,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.7242387880605969,0.6484662116552914,0.6776419410485263,0.6834489802548048,0.03120536398369047,21
1.112849235534668,0.033856247379031604,0.016205787658691406,0.0011452029872593208,10,10,50,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.7092395380230988,0.6375159378984475,0.6600165004125104,0.6689239921113522,0.029950807000634915,27
2.3000545501708984,0.019173260561014618,0.04453142484029134,0.010642610236118073,10,10,100,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.7183140842957852,0.6372909322733068,0.6633165829145728,0.672973866494555,0.0337750907773027,26
4.693898677825928,0.09139617288416599,0.0613706906636556,0.014726439233387869,10,10,200,"{'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.7181640917954102,0.6469661741543539,0.6653416335408385,0.6768239664968676,0.03017911912443759,23
1.699743668238322,0.04404327292166162,0.028803586959838867,0.00103672716189553,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",0.8746812659367031,0.8710717767944198,0.8684467111677792,0.8713999179663007,0.0025558006916542764,9
3.501227935155233,0.10754252271866434,0.05038126309712728,0.006307696577885685,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.8755062246887656,0.870996774919373,0.8689717242931073,0.871824907967082,0.002731211832837258,8
7.077052593231201,0.10358410862961476,0.15046032269795737,0.09520731996238653,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.8746812659367031,0.8723468086702167,0.8694217355433885,0.8721499367167694,0.0021517022585371267,7
1.7278273900349934,0.05435028492376257,0.033598899841308594,0.006456516868635577,20,5,50,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",0.8671066446677667,0.8640216005400135,0.8607215180379509,0.8639499210819105,0.002607209744564858,15
3.448521693547567,0.06274916248629321,0.06487139066060384,0.016703030022184553,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.868381580920954,0.8654466361659041,0.8634965874146854,0.8657749348338478,0.002007755861752415,14
6.699934641520183,0.44857300702742825,0.07090361913045247,0.004826204576638588,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.8687565621718915,0.8664216605415135,0.8639465986649666,0.8663749404594571,0.001963937254435206,13
1.733277718226115,0.05371427024461844,0.0277254581451416,0.0011759455136369412,20,10,50,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50}",0.8565321733913305,0.854646366159154,0.8463211580289507,0.8524998991931451,0.004436342262856849,18
